,rank,song,artist,peak-rank,weeks-on-board
185793,94,Goodbye Is Forever,Arcadia,33,10
185794,95,Now And Forever (You And Me),Anne Murray,92,6
185796,97,The Men All Pause,Klymaxx,80,8
185797,98,I Found Someone,Laura Branigan,90,6
185798,99,Heart's On Fire,John Cafferty,76,6
185799,100,In My Dreams,Dokken,77,7
185878,79,Needles And Pins,Tom Petty & The Heartbreakers With Stevie Nicks,37,9
185882,83,I'd Do It All Again,Sam Harris,52,9
185883,84,Burning Heart,Survivor,2,22
185891,92,Shelter Me,Joe Cocker,91,4
185896,97,I'm Your Man,Wham!,3,18
185897,98,I Miss You,Klymaxx,5,29
185898,99,Can You Feel The Beat,Lisa Lisa And Clult Jam With Full Force,69,20
185899,100,Twist My Arm,The Pointer Sisters,83,5
185979,80,"Say You, Say Me",Lionel Richie,1,20
185992,93,Lying,Peter Frampton,74,8
185996,97,Walk Of Life,Dire Straits,7,21
185997,98,He'll Never Love You (Like I Do),Freddie Jackson,25,15
185998,99,It's All Right (Baby's Coming Back),Eurythmics,78,6
185999,100,The Sun Always Shines on T.V.,a-ha,20,17
186080,81,Go Home,Stevie Wonder,10,17
186084,85,Spies Like Us,Paul McCartney,7,17
186086,87,Jimmy Mack,Sheena Easton,65,6
186087,88,My Hometown,Bruce Springsteen,6,15
186097,98,Somewhere,Barbra Streisand,43,14
186098,99,Sidewalk Talk,Jellybean Featuring Catherine Buchanan,18,18
186099,100,Talk To Me,Stevie Nicks,4,18
186178,79,The Super Bowl Shuffle,The Chicago Bears Shufflin' Crew,41,9
186182,83,Pleasure And Pain,Divinyls,76,7
186183,84,Caravan Of Love,"Isley, Jasper, Isley",51,14
186188,89,Goodbye,Night Ranger,17,18
186193,94,Stereotomy,The Alan Parsons Project,82,4
186196,97,Object Of My Desire,Starpoint,25,24
186198,99,Everything In My Heart,Corey Hart,30,15
186199,100,Secret,Orchestral Manoeuvres In The Dark,63,13
186278,79,Party All The Time,Eddie Murphy,2,22
186283,84,Small Town,John Mellencamp,6,18
186284,85,You're A Friend Of Mine,Clarence Clemons & Jackson Browne,18,19
186285,86,Alive & Kicking,Simple Minds,3,20
186290,91,Everybody Dance,Ta Mara & The Seen,24,21
186297,98,Wood Beez (Pray Like Aretha Franklin),Scritti Politti,91,4
186298,99,Strength,The Alarm,61,10
186299,100,One Sunny Day (From Quicksilver),"Ray Parker,Jr. & Helen Terry",96,3
186381,82,Separate Lives,Phil Collins and Marilyn Martin,1,21
186386,87,Face The Face,Pete Townshend,26,16
186388,89,Tonight She Comes,The Cars,7,17
186389,90,Life's What You Make It,Talk Talk,90,4
