,category,nominee,artist,workers
3833,"Best Pop Vocal Performance By A Duo, Group Or Chorus",Minute By Minute,The Doobie Brothers,
3834,Best Pop Instrumental Performance,Rise,Herb Alpert,
3835,"Best Rock Vocal Performance, Female",Hot Stuff,Donna Summer,
3836,"Best Rock Vocal Performance, Male",Gotta Serve Somebody,Bob Dylan,
3837,Best Rock Vocal Performance By A Duo Or Group,Heartache Tonight,Eagles,
3838,Best Rock Instrumental Performance,Rockestra Theme,Paul McCartney & Wings,
3839,"Best R&B Vocal Performance, Female",Deja Vu,Dionne Warwick,
3840,"Best R&B Vocal Performance, Male",Don't Stop 'til You Get Enough,Michael Jackson,
3841,"Best R&B Vocal Performance By A Duo, Group Or Chorus",After The Love Has Gone,"Earth, Wind & Fire",
3842,Best R&B Instrumental Performance,Boogie Wonderland,"Earth, Wind & Fire",
3843,Best Rhythm & Blues Song,After The Love Has Gone,,"Bill Champlin, David Foster & Jay Graydon, songwriters (Earth, Wind & Fire)"
3844,Best Disco Recording,I Will Survive,Gloria Gaynor,"Dino Fekaris & Freddie Perren, producers"
3845,"Best Country Vocal Performance, Female",Blue Kentucky Girl,Emmylou Harris,
3846,"Best Country Vocal Performance, Male",The Gambler,Kenny Rogers,
3847,Best Country Vocal Performance By A Duo Or Group,The Devil Went Down To Georgia,The Charlie Daniels Band,
3848,Best Country Instrumental Performance,Big Sandy/Leather Britches,Doc Watson & Merle Watson,
3849,Best Country Song,You Decorated My Life,,"Debbie Hupp & Bob Morrison, songwriters (Kenny Rogers)"
3850,"Best Gospel Performance, Contemporary Or Inspirational",Heed The Call,The Imperials,
3851,"Best Gospel Performance, Traditional",Lift Up The Name Of Jesus,Blackwood Brothers,
