title_spoty,all_artists,popularity,index
Dream,Michael Bublé,30,590
Why You Wanna Trip on Me,Michael Jackson,46,591
Thundercrack - Studio Outtake - 1973,Bruce Springsteen,24,592
"Fire - Live from Werchter, Belgium, July 1982 - Remastered",U2,25,593
Save the Last Dance for Me - Ralphi Rosario Anthomic Vocal,Michael Bublé,16,594
La Primavera Spring 3. Allegro,Mannheim Steamroller,7,595
Bleed It Out - Live from Projekt Revolution 2007,Linkin Park,22,596
Unintended,Muse,58,597
The Gallery,Muse,30,598
Celebrity,Brad Paisley,41,599
Possibilities,Weezer,27,600
Somewhere I Belong - Live,Linkin Park,44,601
Sleeping To Dream,Jason Mraz,44,602
Working In The Coal Mine,"Harry Connick, Jr.",14,603
Through The Never,Metallica,51,604
The Pines of Rome,Mannheim Steamroller,2,605
It Had Better Be Tonight (Meglio Stasera) - Eddie Amador Club Dub,Michael Bublé,9,606
"Like It Is, Like It Was",James Brown,21,607
My Blue Heaven,"Harry Connick, Jr.",13,608
Ain't That A Groove - Part 1,James Brown & The Famous Flames,15,609
Tripping Down The Freeway,Weezer,16,610
Feelin' Sad,Ray Charles,17,611
21 Guns - Verizon Studio 880 Session,Green Day,12,612
Keep Me,The Black Keys,46,613
Alive 1997,Daft Punk,32,614
